layer,reporter_code,reporter,partner_code,partner,trade_value_usd,weight_marketshare,source,weight_binary,weight_log,from,to
layer2_backend,AUT,Austria,BEL,Belgium,2965699.804,8.147293899862455e-5,Comtrade,1,14.902623921338899,AUT,BEL
layer2_backend,AUT,Austria,CAN,Canada,3272273.851,9.753230445940676e-4,Comtrade,1,15.000995974093765,AUT,CAN
layer2_backend,AUT,Austria,CHE,Switzerland,44671060.019,0.0036949871188532097,Comtrade,1,17.614836445430367,AUT,CHE
layer2_backend,AUT,Austria,CHN,China,204681635.07099998,0.018490986930678865,Comtrade,1,19.13696633518073,AUT,CHN
layer2_backend,AUT,Austria,CZE,Czechia,19172980.667,7.557288388765831e-4,Comtrade,1,16.769012641111683,AUT,CZE
layer2_backend,AUT,Austria,DEU,Germany,665563859.389,0.032402400530540866,Comtrade,1,20.31614514970661,AUT,DEU
layer2_backend,AUT,Austria,DNK,Denmark,1125185.62,4.840950583849653e-6,Comtrade,1,13.933459464307798,AUT,DNK
layer2_backend,AUT,Austria,FRA,France,21424650.316,0.0021631985143273297,Comtrade,1,16.880052747683244,AUT,FRA
layer2_backend,AUT,Austria,GBR,United Kingdom,22404146.658,5.98083683227355e-4,Comtrade,1,16.92475666298823,AUT,GBR
layer2_backend,AUT,Austria,HKG,"China, Hong Kong SAR",26412350.915,2.9552678414866777e-4,Comtrade,1,17.08934233426508,AUT,HKG
layer2_backend,AUT,Austria,HUN,Hungary,61411127.676,0.0023608045112361847,Comtrade,1,17.933101625488582,AUT,HUN
layer2_backend,AUT,Austria,IND,India,2412556.525,3.334645911090713e-5,Comtrade,1,14.696197956470586,AUT,IND
layer2_backend,AUT,Austria,IRL,Ireland,1733704.514,7.459016299258319e-6,Comtrade,1,14.365771591449974,AUT,IRL
layer2_backend,AUT,Austria,ITA,Italy,27660545.253000002,0.004494478114320154,Comtrade,1,17.135517632848977,AUT,ITA
layer2_backend,AUT,Austria,JPN,Japan,2596911.643,4.4717833633184167e-4,Comtrade,1,14.76983385242029,AUT,JPN
layer2_backend,AUT,Austria,KOR,Rep. of Korea,34119579.088,2.961401637242545e-4,Comtrade,1,17.345381973595256,AUT,KOR
layer2_backend,AUT,Austria,MEX,Mexico,11719605.661999999,3.0760142449824104e-4,Comtrade,1,16.27677378028715,AUT,MEX
layer2_backend,AUT,Austria,MYS,Malaysia,357165108.02599996,0.009587765261535278,Comtrade,1,19.69370872309716,AUT,MYS
layer2_backend,AUT,Austria,NLD,Netherlands,21885292.75,9.124162572515352e-4,Comtrade,1,16.90132545095251,AUT,NLD
layer2_backend,AUT,Austria,PHL,Philippines,50553570.79,3.105195457761105e-4,Comtrade,1,17.73854415949044,AUT,PHL
layer2_backend,AUT,Austria,SGP,Singapore,70125618.977,0.0032844277101909086,Comtrade,1,18.065798762794792,AUT,SGP
layer2_backend,AUT,Austria,SWE,Sweden,6901549.090000001,6.257840690943404e-4,Comtrade,1,15.74725659506193,AUT,SWE
layer2_backend,AUT,Austria,THA,Thailand,17678033.869,1.238638309976001e-4,Comtrade,1,16.68783345905272,AUT,THA
layer2_backend,AUT,Austria,TWN,Chinese Taipei,2500476217,0.001399914914438277,OECD_BTIGE,1,21.639747037880184,AUT,TWN
layer2_backend,AUT,Austria,USA,USA,48200619.977,0.00426568882119249,Comtrade,1,17.69088246227809,AUT,USA
layer2_backend,BEL,Belgium,AUT,Austria,60045397.787,4.529892710170894e-4,Comtrade,1,17.910611480523766,BEL,AUT
layer2_backend,BEL,Belgium,CAN,Canada,5973979.465,2.0236791376256238e-5,Comtrade,1,15.602924007749499,BEL,CAN
layer2_backend,BEL,Belgium,CHE,Switzerland,47490582.143,1.9652622378909588e-4,Comtrade,1,17.67604199972976,BEL,CHE
