layer,reporter_code,reporter,partner_code,partner,trade_value_usd,weight_marketshare,source,weight_binary,weight_log,from,to,year
layer1_frontend,AUT,Austria,CHE,Switzerland,5839392.182,2.477882867629392e-4,Comtrade,1,15.580137442213903,AUT,CHE,2019
layer1_frontend,AUT,Austria,CHN,China,226717150.404,0.01344485373643593,Comtrade,1,19.239213769448742,AUT,CHN,2019
layer1_frontend,AUT,Austria,CZE,Czechia,3948214.474,2.457165576262999e-4,Comtrade,1,15.188774256060368,AUT,CZE,2019
layer1_frontend,AUT,Austria,DEU,Germany,44514033.141,0.0029601447235974372,Comtrade,1,17.611315071371614,AUT,DEU,2019
layer1_frontend,AUT,Austria,FIN,Finland,1444999.336,8.992932500307962e-5,Comtrade,1,14.183620112054594,AUT,FIN,2019
layer1_frontend,AUT,Austria,FRA,France,3571482.528,1.6317043194359214e-4,Comtrade,1,15.08849162149877,AUT,FRA,2019
layer1_frontend,AUT,Austria,GBR,United Kingdom,1297172.235,8.072932672011013e-5,Comtrade,1,14.075698020300804,AUT,GBR,2019
layer1_frontend,AUT,Austria,ITA,Italy,2413290.473,1.501907840829989e-4,Comtrade,1,14.696502130101367,AUT,ITA,2019
layer1_frontend,AUT,Austria,JPN,Japan,20318781.236,0.0010012067702321113,Comtrade,1,16.82705624954801,AUT,JPN,2019
layer1_frontend,AUT,Austria,KOR,Rep. of Korea,12341433.526,0.0015481026203807455,Comtrade,1,16.328472819766038,AUT,KOR,2019
layer1_frontend,AUT,Austria,MYS,Malaysia,15064458.04,7.433533323380038e-4,Comtrade,1,16.527848821504872,AUT,MYS,2019
layer1_frontend,AUT,Austria,NLD,Netherlands,12872539.876,9.959004844785051e-4,Comtrade,1,16.370606986348935,AUT,NLD,2019
layer1_frontend,AUT,Austria,SGP,Singapore,11099634.597,5.236020648638597e-4,Comtrade,1,16.222422836644576,AUT,SGP,2019
layer1_frontend,AUT,Austria,SWE,Sweden,5444153.58,2.5505499070014703e-4,Comtrade,1,15.510053036913197,AUT,SWE,2019
layer1_frontend,AUT,Austria,USA,USA,77756809.028,0.006336806131429401,Comtrade,1,18.16909669397251,AUT,USA,2019
layer1_frontend,BEL,Belgium,DEU,Germany,3720096.4529999997,1.603701142979798e-4,Comtrade,1,15.129260422949203,BEL,DEU,2019
layer1_frontend,BEL,Belgium,FRA,France,1171324.985,7.289724129000733e-5,Comtrade,1,13.973646985563873,BEL,FRA,2019
layer1_frontend,BEL,Belgium,HKG,"China, Hong Kong SAR",5570112.593,5.615694340723348e-4,Comtrade,1,15.532926005411856,BEL,HKG,2019
layer1_frontend,BEL,Belgium,ISR,Israel,1198461.999,7.458610943743125e-5,Comtrade,1,13.996550459622389,BEL,ISR,2019
layer1_frontend,BEL,Belgium,JPN,Japan,2955896.46,2.9800853654281197e-4,Comtrade,1,14.899312871679953,BEL,JPN,2019
layer1_frontend,BEL,Belgium,MYS,Malaysia,8999878.522,9.073526978019742e-4,Comtrade,1,16.01272174876645,BEL,MYS,2019
layer1_frontend,BEL,Belgium,NLD,Netherlands,15230397.561999999,0.0010346776418675855,Comtrade,1,16.53880389406274,BEL,NLD,2019
layer1_frontend,BEL,Belgium,USA,USA,7325027.262,7.384969954207465e-4,Comtrade,1,15.806807571153477,BEL,USA,2019
layer1_frontend,CAN,Canada,CHN,China,3914947.95,0.001090742473907541,Comtrade,1,15.18031284773071,CAN,CHN,2019
layer1_frontend,CAN,Canada,JPN,Japan,1196381.464,1.2061717792157945e-4,Comtrade,1,13.994812948325261,CAN,JPN,2019
layer1_frontend,CAN,Canada,NLD,Netherlands,4560780.237,2.8383949942575995e-4,Comtrade,1,15.333004490719814,CAN,NLD,2019
layer1_frontend,CAN,Canada,USA,USA,23199349.348,0.0029016072995246647,Comtrade,1,16.95963483400309,CAN,USA,2019
layer1_frontend,CHE,Switzerland,AUT,Austria,7599984.3379999995,3.77787631879756e-4,Comtrade,1,15.843656876044172,CHE,AUT,2019
layer1_frontend,CHE,Switzerland,BEL,Belgium,1206376.06,8.133032835910298e-4,Comtrade,1,14.003132260803048,CHE,BEL,2019
layer1_frontend,CHE,Switzerland,CHN,China,96833932.65400001,0.013532333472562545,Comtrade,1,18.38850804509387,CHE,CHN,2019
layer1_frontend,CHE,Switzerland,CZE,Czechia,1301689.227,4.682899108016861e-5,Comtrade,1,14.07917415255205,CHE,CZE,2019
layer1_frontend,CHE,Switzerland,DEU,Germany,74366526.23500001,0.0049060971724176295,Comtrade,1,18.124516495811335,CHE,DEU,2019
layer1_frontend,CHE,Switzerland,FIN,Finland,3126571.505,1.1248014202022304e-4,Comtrade,1,14.95544791618917,CHE,FIN,2019
layer1_frontend,CHE,Switzerland,FRA,France,4273463.874,2.007933323084229e-4,Comtrade,1,15.26793550206221,CHE,FRA,2019
layer1_frontend,CHE,Switzerland,GBR,United Kingdom,3840958.396,2.390414911008592e-4,Comtrade,1,15.16123273606675,CHE,GBR,2019
layer1_frontend,CHE,Switzerland,IRL,Ireland,2679267.552,9.638813450362311e-5,Comtrade,1,14.801054386877109,CHE,IRL,2019
layer1_frontend,CHE,Switzerland,ITA,Italy,6174802.759,6.594053393962978e-4,Comtrade,1,15.635987660054294,CHE,ITA,2019
layer1_frontend,CHE,Switzerland,JPN,Japan,4789234.041999999,2.2821289862229917e-4,Comtrade,1,15.381881257677703,CHE,JPN,2019
layer1_frontend,CHE,Switzerland,KOR,Rep. of Korea,16197738.261,0.0033834089731112744,Comtrade,1,16.600382238674232,CHE,KOR,2019
layer1_frontend,CHE,Switzerland,MYS,Malaysia,24125219.981999997,9.77059442157425e-4,Comtrade,1,16.998768365023018,CHE,MYS,2019
layer1_frontend,CHE,Switzerland,NLD,Netherlands,8726409.19,5.430868157557207e-4,Comtrade,1,15.981864639353663,CHE,NLD,2019
layer1_frontend,CHE,Switzerland,NOR,Norway,9531371.965,0.004010551014549672,Comtrade,1,16.07009933293464,CHE,NOR,2019
layer1_frontend,CHE,Switzerland,SGP,Singapore,10184406.616999999,7.128513330011255e-4,Comtrade,1,16.136368443654053,CHE,SGP,2019
