reporter_code,total_exports,year
BEL,42668943.821,2019
BEL,27329151.79,2019
BEL,165273388.449,2019
BEL,92573429.592,2019
BEL,206631721.288,2019
BEL,3344221903.27,2019
BEL,20427363.557,2019
BEL,654637.187,2019
BEL,19258368.894,2019
BEL,61281162.728,2019
BEL,14617248.969,2019
BEL,439877663.162,2019
BEL,6143291194.006,2019
BEL,12873.962,2019
BEL,383573970.822,2019
BEL,2359658.052,2019
BEL,60217576.543,2019
BEL,283674953.716,2019
BEL,55214.6,2019
BEL,39436020.298,2019
BEL,378421058.585,2019
BEL,46189798.095,2019
BEL,186468681.932,2019
BEL,2894790652.817,2019
BEL,85035066.308,2019
BEL,2176114011.05,2019
BEL,1221548.462,2019
BEL,72639670.751,2019
BEL,98982613.976,2019
BEL,19412752.131,2019
BEL,15265245.273,2019
BEL,137614515.224,2019
BEL,3159335.159,2019
BEL,315764792.537,2019
BEL,8456655.461,2019
BEL,65609.721,2019
BEL,1608963.608,2019
BEL,1560465565.579,2019
BEL,42633593708.845,2019
BEL,14897055.901,2019
BEL,98303.328,2019
BEL,23858613.876,2019
BEL,87396190.839,2019
BEL,58972189.398,2019
BEL,20093666.307,2019
BEL,12616798.539,2019
BEL,54771957585.352,2019
BEL,164029213.516,2019
BEL,85570228.086,2019
BEL,280851.974,2019
BEL,1242287639.852,2019
BEL,309129.509,2019
BEL,752487.228,2019
BEL,317523.31,2019
BEL,54064268.12,2019
BEL,154470130.891,2019
BEL,7056341.821,2019
BEL,13975187.617,2019
BEL,3241.552,2019
BEL,32540.563,2019
BEL,20264769.251,2019
BEL,2021287219.22,2019
BEL,2006594177.942,2019
BEL,73594970.734,2019
BEL,433666883.288,2019
BEL,154279642.861,2019
BEL,192054732.682,2019
BEL,2048741825.882,2019
BEL,1821396725.037,2019
BEL,14438449238.956,2019
BEL,202874556.958,2019
BEL,19086133.769,2019
BEL,3403368784,2019
BEL,154029214.848,2019
BEL,229475533.215,2019
BEL,120595464.839,2019
BEL,510499.43,2019
BEL,1318752995.501,2019
BEL,223918811.491,2019
BEL,15739211.834,2019
BEL,19513843.612,2019
BEL,317374486.781,2019
BEL,2160531.56,2019
BEL,288141501.299,2019
BEL,21257310.104,2019
BEL,230854025.601,2019
BEL,625286424.743,2019
BEL,6686278593.84,2019
BEL,3783290.022,2019
BEL,50798273.849,2019
BEL,21690301.316,2019
BEL,555690660.084,2019
BEL,5611342.69,2019
BEL,81666400.552,2019
BEL,83792384.946,2019
BEL,76915322.535,2019
BEL,114405961.55,2019
BEL,1072218110.465,2019
BEL,748942068.027,2019
BEL,9984126.484,2019
BEL,41931967.58,2019
BEL,10038032.865,2019
BEL,53059.219,2019
BEL,809064378.994,2019
BEL,56680694.007,2019
BEL,116067817.083,2019
BEL,11110269.121,2019
