layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,source
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,HUN,Hungary,1351851839,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,IND,India,7498885645,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,IRL,Ireland,1503718726,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,ISR,Israel,1894851928,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,ITA,Italy,3821149546,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,JPN,Japan,56308941059,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,KOR,Korea,39912385870,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,MEX,Mexico,7793803870,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,MYS,Malaysia,29443430843,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,NLD,Netherlands,13889351351,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,NOR,Norway,365302003,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,PHL,Philippines,12349403701,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,SGP,Singapore,53558414935,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,SWE,Sweden,1143522683,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,THA,Thailand,11481144796,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,USA,United States,121116530308,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2022,TWN,Chinese Taipei,VNM,Viet Nam,20129043185,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,AUT,Austria,TWN,Chinese Taipei,1249731767,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,BEL,Belgium,TWN,Chinese Taipei,720201046,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,CAN,Canada,TWN,Chinese Taipei,1950490838,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,CHE,Switzerland,TWN,Chinese Taipei,2616025292,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,CHN,China (People’s Republic of),TWN,Chinese Taipei,96211974860,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,CZE,Czechia,TWN,Chinese Taipei,518866572,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,DEU,Germany,TWN,Chinese Taipei,13547134358,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,DNK,Denmark,TWN,Chinese Taipei,419832289,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,FIN,Finland,TWN,Chinese Taipei,435575671,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,FRA,France,TWN,Chinese Taipei,3923116454,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,GBR,United Kingdom,TWN,Chinese Taipei,2415642704,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,HKG,Hong Kong (China),TWN,Chinese Taipei,1238659628,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,HUN,Hungary,TWN,Chinese Taipei,349672142,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,IND,India,TWN,Chinese Taipei,2659052990,OECD_BTIGE
