iso3_i,iso3_j,n_votes,n_agree,unga_sim
VNM,AUT,88,48,0.5454545454545454
VNM,BEL,88,42,0.4772727272727273
VNM,CAN,88,31,0.3522727272727273
VNM,CHE,87,46,0.5287356321839081
VNM,CHN,86,72,0.8372093023255814
VNM,CZE,88,41,0.4659090909090909
VNM,DEU,88,41,0.4659090909090909
VNM,DNK,88,41,0.4659090909090909
VNM,FIN,88,45,0.5113636363636364
VNM,FRA,88,37,0.42045454545454547
VNM,GBR,88,36,0.4090909090909091
VNM,HUN,88,40,0.45454545454545453
VNM,IND,88,76,0.8636363636363636
VNM,IRL,88,49,0.5568181818181818
VNM,ISR,86,16,0.18604651162790697
VNM,ITA,88,41,0.4659090909090909
VNM,JPN,88,48,0.5454545454545454
VNM,KOR,88,49,0.5568181818181818
VNM,MEX,88,73,0.8295454545454546
VNM,MYS,88,83,0.9431818181818182
VNM,NLD,88,43,0.48863636363636365
VNM,NOR,88,43,0.48863636363636365
VNM,PHL,88,80,0.9090909090909091
VNM,SGP,88,82,0.9318181818181818
VNM,SWE,88,46,0.5227272727272727
VNM,THA,88,82,0.9318181818181818
VNM,USA,88,14,0.1590909090909091
