layer,reporter_code,reporter,partner_code,partner,trade_value_usd,weight_marketshare,source,weight_binary,weight_log,from,to,year
layer2_backend,AUT,Austria,BEL,Belgium,1697530.677,6.409973928928642e-4,Comtrade,1,14.344685799212892,AUT,BEL,2019
layer2_backend,AUT,Austria,CAN,Canada,1228771.496,4.639912174011713e-4,Comtrade,1,14.021526258312546,AUT,CAN,2019
layer2_backend,AUT,Austria,CHE,Switzerland,36095661.605000004,0.0031044238737924783,Comtrade,1,17.401683266638603,AUT,CHE,2019
layer2_backend,AUT,Austria,CHN,China,147462466.515,0.008722718446724882,Comtrade,1,18.809084243838917,AUT,CHN,2019
layer2_backend,AUT,Austria,CZE,Czechia,15781150.447,0.0021086849091214092,Comtrade,1,16.574326839477834,AUT,CZE,2019
layer2_backend,AUT,Austria,DEU,Germany,511570991.289,0.036826206732417925,Comtrade,1,20.05299692607905,AUT,DEU,2019
layer2_backend,AUT,Austria,FRA,France,23135849.347999997,0.002653247094769099,Comtrade,1,16.956893935558714,AUT,FRA,2019
layer2_backend,AUT,Austria,GBR,United Kingdom,17101848.416,0.0024799369384302613,Comtrade,1,16.654697168607232,AUT,GBR,2019
layer2_backend,AUT,Austria,HKG,"China, Hong Kong SAR",15300859.592,2.4436955514555705e-4,Comtrade,1,16.54341963262395,AUT,HKG,2019
layer2_backend,AUT,Austria,HUN,Hungary,69291081.499,0.005060260446676777,Comtrade,1,18.053826776212084,AUT,HUN,2019
layer2_backend,AUT,Austria,IRL,Ireland,1981852.491,1.0016732570020959e-4,Comtrade,1,14.499543071361867,AUT,IRL,2019
layer2_backend,AUT,Austria,ITA,Italy,21133798.514,0.0017470530739105107,Comtrade,1,16.86638418951813,AUT,ITA,2019
layer2_backend,AUT,Austria,JPN,Japan,1774751.467,6.701564094206859e-4,Comtrade,1,14.389171515955603,AUT,JPN,2019
layer2_backend,AUT,Austria,KOR,Rep. of Korea,7970385.041999999,1.4130831858092757e-4,Comtrade,1,15.8912434864817,AUT,KOR,2019
layer2_backend,AUT,Austria,MEX,Mexico,7382701.836,4.058542298992823e-4,Comtrade,1,15.81465036746829,AUT,MEX,2019
layer2_backend,AUT,Austria,MYS,Malaysia,302483161.496,0.010592541374786983,Comtrade,1,19.52753617271578,AUT,MYS,2019
layer2_backend,AUT,Austria,NLD,Netherlands,10800515.295,8.893576114312128e-4,Comtrade,1,16.195104496044415,AUT,NLD,2019
layer2_backend,AUT,Austria,PHL,Philippines,33040264.023,2.2236519055252404e-4,Comtrade,1,17.31323752786212,AUT,PHL,2019
layer2_backend,AUT,Austria,SGP,Singapore,41415417.533,0.0020237476256494353,Comtrade,1,17.539163797794657,AUT,SGP,2019
layer2_backend,AUT,Austria,SWE,Sweden,4894689.476,0.0012093879419255002,Comtrade,1,15.403661599261062,AUT,SWE,2019
layer2_backend,AUT,Austria,THA,Thailand,33474751.74,2.225991591085259e-4,Comtrade,1,17.326302063106464,AUT,THA,2019
layer2_backend,AUT,Austria,TWN,Chinese Taipei,1249731767,0.0017622270724729331,OECD_BTIGE,1,20.94619477963384,AUT,TWN,2019
layer2_backend,AUT,Austria,USA,USA,35698176.004999995,0.003408291544498907,Comtrade,1,17.390610181160326,AUT,USA,2019
layer2_backend,BEL,Belgium,AUT,Austria,36231261.453999996,0.0010549403051749273,Comtrade,1,17.405432907806535,BEL,AUT,2019
layer2_backend,BEL,Belgium,CAN,Canada,7861059.822000001,4.16800567755343e-5,Comtrade,1,15.877432119929527,BEL,CAN,2019
layer2_backend,BEL,Belgium,CHE,Switzerland,21155321.431,1.8468627729088143e-4,Comtrade,1,16.86740208338154,BEL,CHE,2019
layer2_backend,BEL,Belgium,CHN,China,60759538.906,0.0014034904376719034,Comtrade,1,17.92243466334586,BEL,CHN,2019
layer2_backend,BEL,Belgium,CZE,Czechia,10729457.143,1.2246069392646524e-4,Comtrade,1,16.188503614077323,BEL,CZE,2019
layer2_backend,BEL,Belgium,DEU,Germany,403334210.6010001,0.008262184320439098,Comtrade,1,19.81527608540772,BEL,DEU,2019
layer2_backend,BEL,Belgium,DNK,Denmark,24311721.114,3.1537170273233765e-4,Comtrade,1,17.006469183520025,BEL,DNK,2019
layer2_backend,BEL,Belgium,FIN,Finland,9476160.404,1.8118153501411188e-4,Comtrade,1,16.064289877041038,BEL,FIN,2019
layer2_backend,BEL,Belgium,FRA,France,94651214.352,0.0023304245880015977,Comtrade,1,18.365709276023168,BEL,FRA,2019
layer2_backend,BEL,Belgium,GBR,United Kingdom,87766589.987,0.0021288046312692797,Comtrade,1,18.29019147351549,BEL,GBR,2019
