rank,reporter_code,reporter,total_semiconductor_exports,export_share,cumulative_share,selected,selection_reason
65,SAU,Saudi Arabia,11643302.111,9.969557800319083e-6,0.9999391527365167,FALSE,not_selected
66,BHR,Bahrain,8976806.757,7.686375649538139e-6,0.9999468391121662,FALSE,not_selected
67,JOR,Jordan,6970470.583999999,5.968453684368364e-6,0.9999528075658506,FALSE,not_selected
68,LBN,Lebanon,5672612,4.857164460188217e-6,0.9999576647303108,FALSE,not_selected
69,ARG,Argentina,4622393.16,3.957916349253061e-6,0.99996162264666,FALSE,not_selected
70,CHL,Chile,4465654.767,3.823709364529513e-6,0.9999654463560246,FALSE,not_selected
71,DOM,Dominican Rep.,4177561.9689999996,3.5770303920064874e-6,0.9999690233864166,FALSE,not_selected
72,BIH,Bosnia Herzegovina,4116271.5100000002,3.5245505398319654e-6,0.9999725479369564,FALSE,not_selected
73,OMN,Oman,2708712.6029999997,2.3193305990530485e-6,0.9999748672675555,FALSE,not_selected
74,CUB,Cuba,2253412.5800000005,1.9294807220583814e-6,0.9999767967482776,FALSE,not_selected
75,UZB,Uzbekistan,1946627.99,1.6667969341523134e-6,0.9999784635452117,FALSE,not_selected
76,ECU,Ecuador,1931336.1999999997,1.6537033647488951e-6,0.9999801172485765,FALSE,not_selected
77,MUS,Mauritius,1906505.633,1.6324422336229305e-6,0.9999817496908101,FALSE,not_selected
78,GTM,Guatemala,1832645,1.5691991911559672e-6,0.9999833188900012,FALSE,not_selected
79,IRN,Iran,1348410,1.1545737888934397e-6,0.9999844734637902,FALSE,not_selected
80,CYP,Cyprus,1344528.278,1.1512500709760621e-6,0.9999856247138611,FALSE,not_selected
81,BWA,Botswana,1219830.803,1.0444780682645762e-6,0.9999866691919294,FALSE,not_selected
82,NAM,Namibia,1201051.2689999999,1.0283981239419788e-6,0.9999876975900533,FALSE,not_selected
83,PER,Peru,1178740.0050000004,1.0092941417618695e-6,0.99998870688419506,FALSE,not_selected
84,GHA,Ghana,1096013.588,9.384597866938494e-7,0.9999896453439817,FALSE,not_selected
85,MKD,North Macedonia,1069683.3,9.159145219903724e-7,0.9999905612585037,FALSE,not_selected
86,KGZ,Kyrgyzstan,1032417,8.840053154515305e-7,0.9999914452638192,FALSE,not_selected
87,TZA,United Rep. of Tanzania,957199.4199999999,8.196003894038185e-7,0.9999922648642087,FALSE,not_selected
88,KEN,Kenya,832224.1,7.125904823795677e-7,0.9999929774546911,FALSE,not_selected
89,GEO,Georgia,790171.1249999999,6.765826934429747e-7,0.9999936540373845,FALSE,not_selected
90,MDA,Rep. of Moldova,708254,6.064412932853763e-7,0.9999942604786778,FALSE,not_selected
91,PAK,Pakistan,635508.828,5.441533624188409e-7,0.9999948046320402,FALSE,not_selected
92,ISL,Iceland,616775.881,5.281133081364417e-7,0.9999953327453482,FALSE,not_selected
93,PRY,Paraguay,568861.65,4.870868286327406e-7,0.9999958198321769,FALSE,not_selected
94,CIV,Côte d'Ivoire,479987.5909999999,4.1098856546799903e-7,0.9999962308207424,FALSE,not_selected
95,AZE,Azerbaijan,425945.18,3.647148421722608e-7,0.9999965955355846,FALSE,not_selected
96,CPV,Cabo Verde,409757.9099999999,3.508545195287464e-7,0.9999969463901042,FALSE,not_selected
97,TGO,Togo,371637.713,3.1821416512344373e-7,0.9999972646042693,FALSE,not_selected
