layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,reporter_rank,reporter_export_share,reporter_selection_reason
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",JPN,Japan,23567834.192,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",KOR,Rep. of Korea,21888952.74,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",MYS,Malaysia,35152320.397,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",MEX,Mexico,1026097.173,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",NLD,Netherlands,1397972.14,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",PHL,Philippines,7952352.399,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",SGP,Singapore,143013919.933,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",VNM,Viet Nam,13609058.219,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",SWE,Sweden,2620644.59,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",THA,Thailand,9724984.826,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",GBR,United Kingdom,2456498.565,1,0.20348341453719776,coverage_threshold
layer1_frontend,848690,Machines and apparatus of heading 8486; parts and accessories,2022,HKG,"China, Hong Kong SAR",USA,USA,60086055.266,1,0.20348341453719776,coverage_threshold
layer1_frontend,903082,Instruments and apparatus; for measuring or checking semiconductor wafers or devices (including integrated circuits),2022,HKG,"China, Hong Kong SAR",CHN,China,144804240.857,1,0.20348341453719776,coverage_threshold
layer1_frontend,903082,Instruments and apparatus; for measuring or checking semiconductor wafers or devices (including integrated circuits),2022,HKG,"China, Hong Kong SAR",MYS,Malaysia,18012687.13,1,0.20348341453719776,coverage_threshold
layer1_frontend,903082,Instruments and apparatus; for measuring or checking semiconductor wafers or devices (including integrated circuits),2022,HKG,"China, Hong Kong SAR",THA,Thailand,2135320.935,1,0.20348341453719776,coverage_threshold
layer1_frontend,903082,Instruments and apparatus; for measuring or checking semiconductor wafers or devices (including integrated circuits),2022,HKG,"China, Hong Kong SAR",USA,USA,9019411.251,1,0.20348341453719776,coverage_threshold
layer2_backend,854110,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",2022,HKG,"China, Hong Kong SAR",AUT,Austria,1515524.683,1,0.20348341453719776,coverage_threshold
